"","NAME","year","loss","gain","net_change_km2"
"1","Pink Lake",2001,0.169083452530213,0.00242012366180419,-0.166663328868408
"2","Pink Lake",2002,81.875034477059,1.41811314521467,-80.4569213318443
"3","Pink Lake",2003,541.576553017276,6.88320569751258,-534.693347319763
"4","Pink Lake",2004,34.9472119956078,0.41774638094538,-34.5294656146624
"5","Pink Lake",2005,13.1890511287158,0.0228201092553711,-13.1662310194604
"6","Pink Lake",2006,99.0141069953094,0.152498982667847,-98.8616080126416
"7","Pink Lake",2007,6.05818877647904,0.0338666714093018,-6.02432210506973
"8","Pink Lake",2008,7.86166486189336,0.116433360778198,-7.74523150111516
"9","Pink Lake",2009,11.1972372663273,0.279871553699951,-10.9173657126274
"10","Pink Lake",2010,56.5966824980943,0.194435912490234,-56.4022465856041
"11","Pink Lake",2011,44.7223618000034,0.0194093904977417,-44.7029524095057
"12","Pink Lake",2012,13.4992811562771,0.0392154172210693,-13.4600657390561
"13","Pink Lake",2013,23.1637764051288,0.0128967944845581,-23.1508796106443
"14","Pink Lake",2014,11.766324999124,0.0112536359835815,-11.7550713631404
"15","Pink Lake",2015,18.5261050634037,0.0085718876171875,-18.5175331757865
"16","Pink Lake",2016,3.23703959955646,3.84291650390625e-05,-3.23700117039142
